round_idx,node_id,mesh_kd_loss,mesh_crop_kd_loss,mesh_sup_loss,mesh_proto_loss,mesh_crop_accuracy,mesh_disease_accuracy,mesh_pair_accuracy,mesh_crop_macro_precision,mesh_crop_macro_recall,mesh_crop_macro_f1,mesh_disease_macro_precision,mesh_disease_macro_recall,mesh_disease_macro_f1,mesh_pair_macro_precision,mesh_pair_macro_recall,mesh_pair_macro_f1,baseline_crop_accuracy,baseline_disease_accuracy,baseline_pair_accuracy,baseline_crop_macro_precision,baseline_crop_macro_recall,baseline_crop_macro_f1,baseline_disease_macro_precision,baseline_disease_macro_recall,baseline_disease_macro_f1,baseline_pair_macro_precision,baseline_pair_macro_recall,baseline_pair_macro_f1
0,node_0,0.32520722535749275,0.2918815826997161,2.9963682194550834,0.4154665420452754,0.6551724137931034,0.5172413793103449,0.41379310344827586,0.6964285714285714,0.6515151515151515,0.6142857142857142,0.36363636363636365,0.3238095238095238,0.3360544217687075,0.37142857142857144,0.2809523809523809,0.30655209452201937,0.41379310344827586,0.3448275862068966,0.3448275862068966,0.10344827586206896,0.25,0.14634146341463414,0.1037087912087912,0.25396825396825395,0.13602187286397813,0.1037087912087912,0.25396825396825395,0.13602187286397813
0,node_1,0.2972694724225081,0.24726433880054033,2.6364715557831984,0.4998515683871049,0.6764705882352942,0.6617647058823529,0.5882352941176471,0.5424836601307189,0.5652266034618977,0.5468644506575541,0.44475490196078427,0.4076373626373627,0.41051185620707314,0.35486111111111107,0.3264041514041514,0.3302383440314474,0.38235294117647056,0.38235294117647056,0.3088235294117647,0.4277777777777778,0.3234683617036558,0.2543796767905427,0.22793103448275862,0.20509157509157508,0.15904761904761905,0.25555555555555554,0.16663614163614163,0.15725806451612903
0,node_2,0.2958652817589395,0.244145494830959,2.5948343873023987,0.4709690756657544,0.711340206185567,0.6597938144329897,0.5567010309278351,0.648868778280543,0.4725783475783476,0.5112551859038064,0.43409473523109887,0.387995337995338,0.39641438732014334,0.37372605363984673,0.31334425808110017,0.3207541467361557,0.44329896907216493,0.4742268041237113,0.27835051546391754,0.39917250583917246,0.33112535612535615,0.29298941798941797,0.2746392496392496,0.23944055944055942,0.22695169824528608,0.19887054236899437,0.21927768138294457,0.15579303096450803
0,node_3,0.2843100209720433,0.25159863580483943,2.73320883885026,0.46606382727622986,0.7888888888888889,0.6,0.5444444444444444,0.6495704168117961,0.7058823529411765,0.6605790304991209,0.4513689526847422,0.38966942148760336,0.3951956946327901,0.48869047619047623,0.3949300699300699,0.4184825319016495,0.6333333333333333,0.5333333333333333,0.4222222222222222,0.4110193785116385,0.5034313725490196,0.4249672269300997,0.3157703157703157,0.30736914600550963,0.2825674215817849,0.233375104427736,0.2531177156177156,0.21913246067657832
0,node_4,0.2774563953280449,0.2710505263259014,2.579123322168986,0.4698366771141688,0.7349397590361446,0.5783132530120482,0.4939759036144578,0.6230320445837687,0.572020202020202,0.5870689527440099,0.4106839684379791,0.3881118881118881,0.3890647084050382,0.33465309200603316,0.27878787878787875,0.2945213628003812,0.5421686746987951,0.3132530120481928,0.30120481927710846,0.2328042328042328,0.3,0.24284511784511786,0.16052668440958118,0.18939393939393936,0.11098541980894923,0.1180225988700565,0.14444444444444443,0.09657407407407408
0,node_5,0.28345600701868534,0.2699237998574972,3.065264356136322,0.4459886088967323,0.6779661016949152,0.4576271186440678,0.3728813559322034,0.46375661375661376,0.37907647907647907,0.39389499389499383,0.13545883940620784,0.14440993788819873,0.1330423254761212,0.14952153110047847,0.16228070175438594,0.14807852965747703,0.5254237288135594,0.4576271186440678,0.2542372881355932,0.2916666666666667,0.30562770562770564,0.2969835339698353,0.12491337491337491,0.1520544672718586,0.1330545298156634,0.08954116059379218,0.10438596491228071,0.0943456201479308
1,node_0,0.3755274216334025,0.37604811787605286,1.5699144899845123,0.4460526729623477,0.6896551724137931,0.5862068965517241,0.5517241379310345,0.8041666666666667,0.6742424242424243,0.6642857142857143,0.4922077922077922,0.5809523809523809,0.5071428571428571,0.5142857142857143,0.5666666666666667,0.5119942713927677,0.3793103448275862,0.27586206896551724,0.2413793103448276,0.2708333333333333,0.23863636363636365,0.24615384615384617,0.27943722943722943,0.2095238095238095,0.19387755102040813,0.2714285714285714,0.13809523809523808,0.17551020408163268
1,node_1,0.35459992576103944,0.2407680136653093,1.5340513403599079,0.43692695979888624,0.6029411764705882,0.5294117647058824,0.45588235294117646,0.4366666666666667,0.46501113265819144,0.4320125928672462,0.34259518259518257,0.3356593406593406,0.33319327731092435,0.27222222222222225,0.26543040293040293,0.26410509031198687,0.45588235294117646,0.29411764705882354,0.23529411764705882,0.5785185185185185,0.4165086547439489,0.36937309515000977,0.3755439005439006,0.29007326007326006,0.24222328805127263,0.3066498316498317,0.2534340659340659,0.20477806507218274
1,node_2,0.2417783763478784,0.159295673317769,1.5130700574201696,0.4123740406597362,0.7422680412371134,0.7319587628865979,0.6597938144329897,0.6862990810359232,0.5914529914529915,0.6210155857214681,0.5017482517482518,0.5172261072261072,0.5014492989412456,0.4731002331002331,0.4285045948203843,0.44034343434343437,0.4639175257731959,0.4639175257731959,0.3402061855670103,0.5129850825503,0.4442307692307692,0.41182035068213935,0.3077463042633321,0.28736596736596737,0.2624913080840132,0.2703907203907204,0.2514889788573999,0.21802056744848508
1,node_3,0.2997001577168703,0.2281031059101224,1.6498213615268469,0.4209923818707466,0.8333333333333334,0.6555555555555556,0.5888888888888889,0.6754509379509379,0.6332516339869282,0.6474237543390466,0.4714285714285715,0.4836776859504132,0.4509854580848495,0.4307370580808081,0.42144522144522145,0.40771438915772085,0.7,0.5,0.4666666666666667,0.6890652557319225,0.5263888888888889,0.5584989084989084,0.4197931697931697,0.3511707988980716,0.3338215330150814,0.34756343984962407,0.2866841491841492,0.27697916666666667
