scenario,target_node,num_rounds,disruption_start_round,recovery_round_mesh,recovery_round_baseline,total_bytes_exchanged,total_communication_energy_j,total_baseline_compute_energy_kwh,total_mesh_compute_energy_kwh,additional_energy_j,final_macro_gain_crop_accuracy,adaptation_gain_crop_accuracy,pre_disruption_advantage_crop_accuracy,advantage_delta_crop_accuracy,retention_gain_crop_accuracy,gain_per_joule_crop_accuracy,gain_per_additional_joule_crop_accuracy,gain_per_byte_crop_accuracy,final_macro_gain_disease_accuracy,adaptation_gain_disease_accuracy,pre_disruption_advantage_disease_accuracy,advantage_delta_disease_accuracy,retention_gain_disease_accuracy,gain_per_joule_disease_accuracy,gain_per_additional_joule_disease_accuracy,gain_per_byte_disease_accuracy,final_macro_gain_pair_accuracy,adaptation_gain_pair_accuracy,pre_disruption_advantage_pair_accuracy,advantage_delta_pair_accuracy,retention_gain_pair_accuracy,gain_per_joule_pair_accuracy,gain_per_additional_joule_pair_accuracy,gain_per_byte_pair_accuracy
disconnection,node_1,6,2,4,5,14137184,424.11552,0.007214298452087006,0.013644958344764552,23574.491133639167,0.12341842086230215,0.22426470588235298,0.2720588235294118,-0.04779411764705882,0.20588235294117646,2.4909883068071865e-06,5.235252806207664e-06,8.73005690965769e-09,0.17992122830524038,0.22426470588235292,0.19117647058823525,0.03308823529411767,0.20588235294117652,3.6314001809727897e-06,7.632030201004221e-06,1.2726808132739898e-08,0.161520350025475,0.19117647058823528,0.16911764705882354,0.022058823529411742,0.20588235294117646,3.2600101379822257e-06,6.851488293420537e-06,1.1425213820904856e-08
class_addition,node_0,6,2,3,2,15758640,472.7592,0.007256993146739034,0.014114528532469632,25159.886588630154,0.1252153617210725,0.1363636363636363,0.27586206896551724,-0.13949843260188094,0.0,2.441556216193881e-06,4.976785617851624e-06,7.945822845186672e-09,0.11611214765584721,0.1818181818181818,0.24137931034482757,-0.059561128526645774,-0.040752351097178674,2.2640539626141274e-06,4.614971027266821e-06,7.368157890265099e-09,0.09664920613738553,0.19155844155844154,0.18965517241379307,0.0019032691446484729,-0.019256605463502052,1.8845488827528202e-06,3.841400707309296e-06,6.133093092892885e-09
distribution_shift,node_2,6,2,,2,15922800,477.684,0.0074353457768251766,0.014848405679585713,27164.69964993793,0.11017088860431257,0.17268041237113405,0.26804123711340205,-0.09536082474226801,-0.07216494845360821,2.0427761271167144e-06,4.055663785134628e-06,6.919065026522506e-09,0.12895757525851226,0.17268041237113402,0.25773195876288657,-0.08505154639175255,-0.04123711340206182,2.3911167413297422e-06,4.747248337745082e-06,8.098925770499677e-09,0.1288164645143609,0.17783505154639173,0.2680412371134021,-0.09020618556701038,-0.05154639175257736,2.3885002819085302e-06,4.7420537011037865e-06,8.09006358896431e-09
